,entity,tag
31571,post,I-ORG
31572,Whats,B-PER
31573,Conservative,B-LOC
31574,salute,I-LOC
31575,Regards,B-MISC
31576,serve,B-PER
31577,Canadians,I-PER
31578,Whine,B-ORG
31579,Liberals,I-ORG
31580,Whine,I-ORG
31581,work,B-PER
31582,Sadly,I-PER
31583,step,B-PER
31584,examine,I-PER
31585,Canadian,B-LOC
31586,example,I-LOC
31587,House,B-PER
31588,Commons,I-PER
31589,University,B-PER
31590,Ottawa,I-PER
31591,mean,B-PER
31592,Craft,I-PER
31593,Canada,B-LOC
31594,North,I-LOC
31595,Free,B-PER
31596,Trade,I-PER
31597,Liberals,B-MISC
31598,NDP,B-PER
31599,Greens,I-PER
31600,Reform,B-PER
31601,Party,I-PER
31602,legacy,B-PER
31603,Steve,I-PER
31604,Canadians,B-PER
31605,damn,I-PER
31606,Agro,B-LOC
31607,Queen,B-PER
31608,die,I-PER
31609,pope,B-PER
31610,Catholic,I-PER
31611,stop,B-PER
31612,Harper,I-PER
31613,Canada,B-LOC
31614,news,I-LOC
31615,lather,B-PER
31616,Frothing,I-PER
31617,Minister,B-PER
31618,Papa,I-PER
31619,Lawrence,B-ORG
31620,ODonnell,I-ORG
31621,monopoly,B-PER
31622,PROGRESSIVENESS,I-PER
31623,Diefenbaker,B-ORG
31624,PROGRESSIVE,I-ORG
31625,Conservative,I-ORG
31626,sip,B-PER
31627,tea,I-PER
31628,Davidson,B-ORG
31629,Pope,I-ORG
31630,side,I-ORG
31631,quote,B-PER
31632,Pope,I-PER
31633,Trinity,B-LOC
31634,Western,I-LOC
31635,TorTech,B-ORG
31636,agree,I-ORG
31637,youd,I-ORG
31638,Quebec,I-ORG
31639,like,B-PER
31640,like,I-PER
31641,beat,B-PER
31642,TedB,I-PER
31643,Charia,B-PER
31644,Law,I-PER
31645,Ive,B-LOC
31646,read,I-LOC
31647,teach,B-PER
31648,Bible,I-PER
31649,Captain,B-ORG
31650,Obvious,I-ORG
31651,TWU,B-LOC
31652,BCCT,I-LOC
31653,slippery,B-PER
31654,slope,I-PER
31655,Catholic,B-PER
31656,school,I-PER
31657,Pretty,B-PER
31658,simple,I-PER
31659,Canadians,B-MISC
31660,Canadian,B-PER
31661,law,I-PER
31662,Note,B-LOC
31663,sex,I-LOC
31664,sin,I-LOC
31665,adhere,B-PER
31666,Charter,I-PER
31667,discrimination,B-PER
31668,LGBT,I-PER
31669,Trinity,B-LOC
31670,gays,I-LOC
31671,Knowledge,B-ORG
31672,Infrastructure,I-ORG
31673,Program,I-ORG
31674,mean,B-PER
31675,seriously,I-PER
31676,Blame,B-PER
31677,Harper,I-PER
31678,California,B-LOC
31679,Learn,I-LOC
31680,kneejerk,B-PER
31681,Nimbyism,I-PER
31682,slavery,B-PER
31683,Seriously,I-PER
31684,Texas,B-PER
31685,BCThank,I-PER
31686,issue,B-PER
31687,exist,I-PER
31688,leftwingNice,B-LOC
31689,FAIL,I-LOC
31690,Western,B-PER
31691,Students,I-PER
31692,Law,B-PER
31693,School,I-PER
31694,Amen,B-PER
31695,school,B-PER
31696,nonCatholics,I-PER
31697,stand,B-PER
31698,Margaret,I-PER
31699,Wheres,B-LOC
31700,story,I-LOC
31701,somewhere,B-PER
31702,Canada,I-PER
31703,Tolerance,B-ORG
31704,old,I-ORG
31705,Fascism,I-ORG
31706,soon,B-PER
31707,disappear,I-PER
31708,FABULOUS,B-ORG
31709,COLUMN,I-ORG
31710,Clayton,B-PER
31711,Ruby,I-PER
31712,sex,B-ORG
31713,sex,I-ORG
31714,okay,I-ORG
31715,Yada,B-LOC
31716,yada,I-LOC
31717,yada,I-LOC
31718,secretLOL,B-LOC
31719,Powley,B-LOC
31720,test,I-LOC
31721,Party,B-PER
31722,adherents,I-PER
31723,key,B-PER
31724,goals,I-PER
31725,year,B-PER
31726,Harper,I-PER
31727,Theyll,B-PER
31728,mean,I-PER
31729,Western,B-PER
31730,Europe,I-PER
31731,Canadians,B-PER
31732,slow,I-PER
31733,young,B-PER
31734,mind,I-PER
31735,Garbage,B-ORG
31736,lot,I-ORG
31737,sense,I-ORG
31738,Moscow,B-PER
31739,Central,I-PER
31740,Eastern,B-PER
31741,Europe,I-PER
31742,Solutions,B-PER
31743,Inc,I-PER
31744,Putin,B-PER
31745,FASCIST,I-PER
31746,Ukraine,B-PER
31747,shatter,I-PER
31748,Kiev,B-LOC
31749,west,I-LOC
31750,Kiev,B-LOC
31751,news,I-LOC
31752,Glory,B-LOC
31753,Russia,I-LOC
31754,sales,B-PER
31755,Europe,I-PER
31756,Canadian,B-LOC
31757,Government,I-LOC
31758,Guatemala,B-LOC
31759,bananas,I-LOC
31760,Globe,B-PER
31761,Mail,I-PER
31762,USNATO,B-LOC
31763,nations,I-LOC
31764,Bagdikian,B-LOC
31765,others,I-LOC
31766,Paul,B-PER
31767,Heinbecker,I-PER
31768,sympathetic,B-PER
31769,Maidan,I-PER
31770,Echo,B-PER
31771,Moskvi,I-PER
31772,Guess,B-ORG
31773,study,I-ORG
31774,Geobbels,I-ORG
31775,wheres,B-PER
31776,link,I-PER
31777,theRealistLon,B-ORG
31778,Twaddle,I-ORG
31779,HARPO,B-LOC
31780,BOOT,I-LOC
31781,Liberals,B-PER
31782,Tories,I-PER
31783,Libs,B-PER
31784,NDP,I-PER
31785,Prime,B-ORG
31786,Minister,I-ORG
31787,Harper,I-ORG
31788,side,B-PER
31789,angels,I-PER
31790,Todays,B-PER
31791,CPC,I-PER
31792,Team,B-LOC
31793,Tubby,I-LOC
31794,Bill,B-LOC
31795,Stephen,B-PER
31796,Harper,I-PER
31797,Lets,B-ORG
31798,Emperor,I-ORG
31799,Palpateen,I-ORG
31800,mean,B-PER
31801,Flaherty,I-PER
31802,Liberals,B-MISC
31803,NDP,B-PER
31804,Greens,I-PER
31805,way,B-PER
31806,anyway,I-PER
31807,bet,B-PER
31808,less,I-PER
31809,weve,B-PER
31810,Time,I-PER
31811,Canadians,B-PER
31812,damn,I-PER
31813,Appears,B-PER
31814,Putinesque,I-PER
31815,National,B-PER
31816,Socialism,I-PER
31817,Harper,B-PER
31818,laws,I-PER
31819,fact,B-PER
31820,stand,I-PER
31821,Flaherty,B-LOC
31822,Defend,B-PER
31823,lose,I-PER
31824,Count,B-LOC
31825,rule,B-PER
31826,Unreason,I-PER
31827,majority,B-PER
31828,Canadians,I-PER
31829,CHANCE,B-LOC
31830,VOTE,I-LOC
31831,year,B-ORG
31832,total,I-ORG
31833,loan,I-ORG
31834,Norman,B-PER
31835,Conquest,I-PER
31836,Denialism,B-ORG
31837,Nihilism,I-ORG
31838,work,B-PER
31839,Butt,I-PER
31840,Globe,B-PER
31841,Mail,I-PER
31842,story,B-PER
31843,Parliament,I-PER
31844,Lorne,B-ORG
31845,Gunter,I-ORG
31846,kid,I-ORG
31847,Acorn,B-PER
31848,OCAP,I-PER
31849,Conservative,B-LOC
31850,party,I-LOC
31851,Simpson,B-LOC
31852,jealous,I-LOC
31853,less,B-MISC
31854,Canada,I-MISC
31855,Canadians,I-MISC
31856,Thanks,B-ORG
31857,input,I-ORG
31858,Pierre,I-ORG
31859,crack,B-PER
31860,Malumba,I-PER
31861,value,B-PER
31862,okay,I-PER
31863,Option,B-LOC
31864,nationale,I-LOC
31865,French,B-PER
31866,Laval,I-PER
31867,CHEERS,B-LOC
31868,Qubec,I-LOC
31869,Marois,B-PER
31870,Harper,I-PER
31871,Conservatives,B-LOC
31872,Ottawa,I-LOC
31873,Valium,B-LOC
31874,Keith,I-LOC
31875,Ron,B-LOC
31876,Paul,I-LOC
31877,Looks,B-LOC
31878,good,I-LOC
31879,Fair,B-ORG
31880,Elections,I-ORG
31881,Act,I-ORG
31882,Kill,B-ORG
31883,bill,I-ORG
31884,Harper,I-ORG
31885,Honourable,B-PER
31886,Shortpants,I-PER
31887,Lets,B-ORG
31888,Election,I-ORG
31889,House,B-PER
31890,Cards,I-PER
31891,Chuck,B-PER
31892,Cadman,I-PER
31893,like,B-PER
31894,C,I-PER
31895,Reformers,B-MISC
31896,sorry,B-PER
31897,Conservatives,I-PER
31898,Linda,B-ORG
31899,Frum,I-ORG
31900,Linda,I-ORG
31901,Sokolowski,I-ORG
31902,Harper,B-PER
31903,Canada,I-PER
31904,CPC,B-LOC
31905,database,I-LOC
31906,Stockholm,B-ORG
31907,Syndrome,I-ORG
31908,kill,B-PER
31909,Christians,I-PER
31910,imaginative,B-PER
31911,Shall,I-PER
31912,todays,B-PER
31913,Canada,I-PER
31914,kill,B-PER
31915,silence,I-PER
31916,solve,B-PER
31917,issue,I-PER
31918,Christians,B-MISC
31919,dysfunction,B-PER
31920,Islam,I-PER
31921,dismiss,B-PER
31922,Ali,I-PER
31923,Russia,B-PER
31924,mirror,I-PER
31925,time,B-PER
31926,soon,I-PER
31927,Good,B-ORG
31928,post,I-ORG
31929,Nuland,B-PER
31930,Pyatt,I-PER
31931,Like,B-ORG
31932,Australia,I-ORG
31933,Viet,I-ORG
31934,Nam,I-ORG
31935,Rage,B-PER
31936,folks,I-PER
31937,loyal,B-PER
31938,Canada,I-PER
31939,time,B-PER
31940,Courts,I-PER
31941,Bull,B-ORG
31942,kill,I-ORG
31943,Mossad,I-ORG
31944,Lord,B-PER
31945,Flies,I-PER
31946,Cameco,B-PER
31947,Areva,I-PER
31948,madness,B-PER
31949,stop,I-PER
31950,struggle,B-PER
31951,pay,I-PER
31952,stop,B-PER
31953,play,I-PER
31954,salary,B-PER
31955,gain,I-PER
31956,end,B-PER
31957,pay,I-PER
31958,stop,B-PER
31959,sign,I-PER
31960,True,B-ORG
31961,story,I-ORG
31962,Google,I-ORG
31963,Senate,B-PER
31964,Seat,I-PER
31965,Stephen,B-PER
31966,Harper,I-PER
31967,areas,B-PER
31968,dozens,I-PER
31969,Mike,B-ORG
31970,Harris,I-ORG
31971,Firefighters,B-PER
31972,issue,I-PER
31973,time,B-PER
31974,less,I-PER
31975,stance,B-PER
31976,Guaranteed,I-PER
31977,stay,B-PER
31978,awake,I-PER
31979,town,B-PER
31980,many,I-PER
31981,bill,B-PER
31982,Thanks,I-PER
31983,tax,B-PER
31984,dollars,I-PER
31985,next,B-PER
31986,Cont,I-PER
31987,isWhy,B-LOC
31988,smell,B-PER
31989,Wrightwash,I-PER
31990,Wheres,B-PER
31991,RCMP,I-PER
31992,smell,B-PER
31993,test,I-PER
31994,GAVE,B-LOC
31995,money,I-LOC
31996,Duffy,B-PER
31997,HELLO,I-PER
31998,Duffy,B-PER
31999,Harper,I-PER
32000,Senator,B-LOC
32001,stop,B-ORG
32002,Senate,I-ORG
32003,Audit,I-ORG
32004,staffCoyne,B-PER
32005,todays,I-PER
32006,Thank,B-LOC
32007,goodness,I-LOC
32008,time,B-PER
32009,Ottawa,I-PER
32010,Liberal,B-LOC
32011,Period,I-LOC
32012,law,B-PER
32013,move,I-PER
32014,USSR,B-LOC
32015,Russians,B-PER
32016,like,I-PER
32017,Israeli,B-PER
32018,Herr,I-PER
32019,Emperor,B-LOC
32020,Steve,I-LOC
32021,like,B-PER
32022,Hitler,I-PER
32023,silk,B-PER
32024,gloves,I-PER
32025,Good,B-ORG
32026,post,I-ORG
32027,Russian,B-PER
32028,DEZINFORMATSIA,I-PER
32029,COUNTRIES,B-LOC
32030,Grow,I-LOC
32031,Uncle,B-ORG
32032,Sam,I-ORG
32033,Obama,I-ORG
32034,SincerelyEdward,B-LOC
32035,Bernays,I-LOC
32036,plant,B-PER
32037,Hell,I-PER
32038,Consequently,B-LOC
32039,evil,I-LOC
32040,mosque,B-PER
32041,Petersburg,I-PER
32042,HAN,B-PER
32043,Chauvinist,I-PER
32044,forget,B-PER
32045,Mongols,I-PER
32046,Remarkably,B-ORG
32047,similar,I-ORG
32048,NATO,I-ORG
32049,SEEK,B-ORG
32050,PROTECTION,I-ORG
32051,Poland,B-PER
32052,BALTICS,I-PER
32053,YOUBrainwashed,B-ORG
32054,Commie,I-ORG
32055,Facebook,B-PER
32056,Google,I-PER
32057,Doodle,B-PER
32058,Dandy,I-PER
32059,Russian,B-LOC
32060,AGGRESSION,I-LOC
32061,many,B-PER
32062,ways,I-PER
32063,Canada,B-LOC
32064,Russia,I-LOC
32065,satisfy,B-PER
32066,Russia,I-PER
32067,USA,B-ORG
32068,survive,I-ORG
32069,Obama,I-ORG
32070,Justin,B-ORG
32071,Trudeau,I-ORG
32072,joke,I-ORG
32073,Putin,I-ORG
32074,matter,B-PER
32075,Valhttpwwwvoiceyourselfsinginglessonscom,I-PER
32076,Holy,B-PER
32077,Spirit,I-PER
32078,Itll,B-PER
32079,late,I-PER
32080,God,B-LOC
32081,imaginary,I-LOC
32082,time,B-PER
32083,Peter,I-PER
32084,God,B-PER
32085,absent,I-PER
32086,God,B-PER
32087,bless,I-PER
32088,Average,B-PER
32089,Canadians,I-PER
32090,Crowley,B-PER
32091,admire,I-PER
32092,BBC,B-LOC
32093,Radio,I-LOC
32094,CBC,B-ORG
32095,swipe,I-ORG
32096,Execs,I-ORG
32097,Frankly,B-PER
32098,serious,I-PER
32099,Sea,B-PER
32100,Dea,I-PER
32101,Liberals,B-ORG
32102,job,I-ORG
32103,Learn,I-ORG
32104,Canadians,B-PER
32105,Canada,I-PER
32106,CBC,B-ORG
32107,Radios,I-ORG
32108,Current,I-ORG
32109,CBC,B-LOC
32110,PBS,B-LOC
32111,sometimes,B-PER
32112,Sorry,I-PER
32113,CBC,B-LOC
32114,CBC,B-LOC
32115,past,I-LOC
32116,Many,B-PER
32117,thank,I-PER
32118,Harper,I-PER
32119,Dragons,B-ORG
32120,Den,I-ORG
32121,IPO,I-ORG
32122,Dear,B-PER
32123,Leader,I-PER
32124,Wente,B-LOC
32125,Ibbitson,I-LOC
32126,Sun,B-ORG
32127,suppose,I-ORG
32128,Great,B-PER
32129,War,I-PER
32130,war,B-PER
32131,England,I-PER
32132,Wilfred,B-PER
32133,Owen,I-PER
32134,Mark,B-PER
32135,Shore,I-PER
32136,Granatstein,B-PER
32137,learn,I-PER
32138,learn,B-PER
32139,tool,I-PER
32140,Harper,B-PER
32141,Horrible,I-PER
32142,lead,B-PER
32143,WWII,I-PER
32144,Ridge,B-PER
32145,Passchaendale,I-PER
32146,Peter,B-PER
32147,Williamson,I-PER
32148,Europe,B-LOC
32149,George,B-ORG
32150,Santayana,I-ORG
32151,Europe,B-LOC
32152,Department,B-ORG
32153,Canadian,I-ORG
32154,Heritage,I-ORG
32155,Great,B-PER
32156,War,I-PER
32157,End,B-PER
32158,story,I-PER
32159,available,B-PER
32160,today,I-PER
32161,age,B-PER
32162,soon,I-PER
32163,system,B-PER
32164,Good,I-PER
32165,doctor,B-PER
32166,EXACTLY,I-PER
32167,Margaret,B-PER
32168,Somerville,I-PER
32169,land,B-PER
32170,sell,I-PER
32171,Bertrand,B-PER
32172,Russell,I-PER
32173,Selfdoubt,B-PER
32174,available,I-PER
32175,LLM,B-PER
32176,PhD,I-PER
32177,miss,B-PER
32178,itWhat,I-PER
32179,Sad,B-LOC
32180,true,I-LOC
32181,sex,B-PER
32182,issue,I-PER
32183,Margaret,B-LOC
32184,stink,I-LOC
32185,Wente,B-LOC
32186,stir,I-LOC
32187,Margaret,B-PER
32188,Wente,I-PER
32189,WOMAN,B-ORG
32190,team,B-PER
32191,team,I-PER
32192,metro,B-PER
32193,males,I-PER
32194,Globe,B-PER
32195,Mail,I-PER
32196,Western,B-ORG
32197,Woods,I-ORG
32198,smug,I-ORG
32199,leaders,B-PER
32200,Appalling,I-PER
32201,Harper,B-LOC
32202,Society,B-PER
32203,Canada,I-PER
32204,Started,B-ORG
32205,Chretien,I-ORG
32206,Canadians,B-LOC
32207,Mexicans,I-LOC
32208,Wayner,B-PER
32209,speak,I-PER
32210,CPIC,B-ORG
32211,youth,B-PER
32212,today,I-PER
32213,Canadian,B-PER
32214,society,I-PER
32215,lead,B-PER
32216,example,I-PER
32217,Scheme,B-PER
32218,SNP,I-PER
32219,UKIP,B-ORG
32220,vote,I-ORG
32221,Mars,B-ORG
32222,Bars,I-ORG
32223,Oor,B-PER
32224,Wullie,I-PER
32225,Chronologically,B-ORG
32226,sense,I-ORG
32227,lead,B-PER
32228,Toronto,I-PER
32229,George,B-PER
32230,Carlin,I-PER
32231,ObiWan,B-PER
32232,KenobiDelightful,I-PER
32233,Shaved,B-LOC
32234,matter,I-LOC
32235,join,B-PER
32236,Iraq,I-PER
32237,Crimea,B-LOC
32238,weeks,I-LOC
32239,matter,B-PER
32240,alas,I-PER
32241,Third,B-PER
32242,Reich,I-PER
32243,Upton,B-LOC
32244,Sinclair,I-LOC
32245,Russian,B-PER
32246,Eagle,I-PER
32247,Burney,B-LOC
32248,militants,B-PER
32249,Crimea,I-PER
32250,sow,B-PER
32251,ear,I-PER
32252,Solutions,B-PER
32253,Inc,I-PER
32254,single,B-PER
32255,Putinbot,I-PER
32256,EVIL,B-LOC
32257,itEVIL,I-LOC
32258,Sun,B-PER
32259,News,I-PER
32260,Ukrainians,B-LOC
32261,nazis,I-LOC
32262,speak,B-PER
32263,Russian,I-PER
32264,goal,B-PER
32265,Ukraine,I-PER
32266,Solutions,B-PER
32267,Inc,I-PER
32268,Ukrainian,B-LOC
32269,nationhood,I-LOC
32270,Nice,B-ORG
32271,Jack,I-ORG
32272,Realist,B-ORG
32273,Canada,I-ORG
32274,lose,I-ORG
32275,Good,B-PER
32276,Kevin,I-PER
32277,Trudeau,B-LOC
32278,Harper,I-LOC
32279,Boy,B-LOC
32280,Blunder,I-LOC
32281,sell,B-PER
32282,voters,I-PER
32283,Harper,B-PER
32284,good,I-PER
32285,Plain,B-PER
32286,simple,I-PER
32287,Harper,B-LOC
32288,less,B-MISC
32289,Canadian,I-MISC
32290,CPC,I-MISC
32291,donaters,I-MISC
32292,kim,B-PER
32293,Campbell,I-PER
32294,attack,B-PER
32295,ads,I-PER
32296,Liberals,B-MISC
32297,skills,B-PER
32298,pay,I-PER
32299,like,B-PER
32300,Harper,I-PER
32301,Canadian,B-LOC
32302,penny,I-LOC
32303,mis,B-PER
32304,Libs,I-PER
32305,talk,B-PER
32306,like,I-PER
32307,State,B-LOC
32308,way,I-LOC
32309,kind,B-PER
32310,Justin,I-PER
32311,Libs,B-LOC
32312,NDP,I-LOC
32313,PMO,B-LOC
32314,staffers,I-LOC
32315,king,B-PER
32316,makers,I-PER
32317,Conservatives,B-LOC
32318,fix,I-LOC
32319,doors,B-PER
32320,Satan,I-PER
32321,Jimmy,B-ORG
32322,Savile,I-ORG
32323,scandal,I-ORG
32324,Step,B-PER
32325,line,I-PER
32326,man,I-PER
32327,age,B-PER
32328,way,I-PER
32329,family,B-PER
32330,Hopefully,I-PER
32331,Union,B-LOC
32332,Nationale,I-LOC
32333,Ral,B-PER
32334,Lavoie,I-PER
32335,Quebec,B-PER
32336,Solidaire,I-PER
32337,Civil,B-LOC
32338,War,I-LOC
32339,Babble,B-ORG
32340,pinko,I-ORG
32341,America,B-PER
32342,WWs,I-PER
32343,Ukrainians,B-MISC
32344,neoStalinist,B-LOC
32345,tool,I-LOC
32346,Obamas,B-LOC
32347,USA,I-LOC
32348,Russia,B-PER
32349,Ukraine,I-PER
32350,aes,B-PER
32351,line,I-PER
32352,Moosie,I-PER
32353,Cold,B-LOC
32354,War,I-LOC
32355,Great,B-ORG
32356,article,I-ORG
32357,Thank,I-ORG
32358,Putin,B-PER
32359,Liberator,I-PER
32360,false,B-PER
32361,analogy,I-PER
32362,Eastern,B-LOC
32363,Europe,I-LOC
32364,load,B-PER
32365,Anybody,I-PER
32366,Kiev,B-PER
32367,Washington,I-PER
32368,Europe,B-LOC
32369,Poles,B-ORG
32370,attack,I-ORG
32371,Russia,I-ORG
32372,attack,B-ORG
32373,Germany,I-ORG
32374,WWII,I-ORG
32375,attack,B-PER
32376,Poland,I-PER
32377,Ron,B-ORG
32378,Paul,I-ORG
32379,rEVOLution,I-ORG
32380,Carp,B-PER
32381,Diefenbunker,I-PER
32382,Putins,B-PER
32383,mouth,I-PER
32384,note,B-PER
32385,sell,I-PER
32386,Hope,B-PER
32387,work,I-PER
32388,sons,B-PER
32389,France,I-PER
32390,Israel,B-ORG
32391,Poland,I-ORG
32392,Funny,B-LOC
32393,Americans,I-LOC
32394,Hence,B-ORG
32395,jet,I-ORG
32396,Poland,I-ORG
32397,Greater,B-LOC
32398,Finland,I-LOC
32399,English,B-PER
32400,Needreason,I-PER
32401,OUTRAGEOUS,B-ORG
32402,ABSOLUTELY,I-ORG
32403,UNFOUNDED,I-ORG
32404,Grow,B-PER
32405,Canada,I-PER
32406,Source,B-LOC
32407,httpwwwbloodcaCentreAppsInternetUWVMainEnginensfpageStatementfromCanadianBloodServicespayforplasma,I-LOC
32408,PAY,B-PER
32409,DEBTS,I-PER
32410,sex,B-PER
32411,Terrible,I-PER
32412,Today,B-LOC
32413,RBC,I-LOC
32414,sense,B-PER
32415,issue,I-PER
32416,LOL,B-ORG
32417,apparently,I-ORG
32418,imply,B-PER
32419,Irrational,I-PER
32420,Hope,B-LOC
32421,learn,I-LOC
32422,near,B-PER
32423,easy,I-PER
32424,pay,B-PER
32425,way,I-PER
32426,lala,B-PER
32427,land,I-PER
32428,youve,B-PER
32429,Stuvian,I-PER
32430,IMHO,B-LOC
32431,among,B-PER
32432,Canadians,I-PER
32433,Thank,B-PER
32434,Wente,I-PER
32435,money,B-PER
32436,Period,I-PER
32437,GROW,B-ORG
32438,Ottoman,B-LOC
32439,Empire,I-LOC
32440,Pamela,B-LOC
32441,Postian,I-LOC
32442,Jeffery,I-LOC
32443,Armenians,B-PER
32444,enwikipediaorgwikiRaphaelLemkin,I-PER
32445,Thanks,B-ORG
32446,Atom,I-ORG
32447,MrC,B-LOC
32448,CAD,B-LOC
32449,par,I-LOC
32450,Federal,B-LOC
32451,Provincial,I-LOC
32452,States,I-LOC
32453,tax,B-PER
32454,law,I-PER
32455,slow,I-PER
32456,Tiny,B-PER
32457,Lizzies,I-PER
32458,journeymenAdam,B-PER
32459,Smith,I-PER
32460,example,B-PER
32461,Germany,I-PER
32462,table,B-PER
32463,Wonder,I-PER
32464,Design,B-PER
32465,Thinking,I-PER
32466,Canada,B-PER
32467,nation,I-PER
32468,exampleYI,B-LOC
32469,Smith,I-LOC
32470,Welcome,B-ORG
32471,Ontariowe,I-ORG
32472,many,B-PER
32473,Halifax,I-PER
32474,Bank,B-PER
32475,Poloz,I-PER
32476,Total,B-ORG
32477,nonsense,I-ORG
32478,Energy,B-PER
32479,Plan,I-PER
32480,Norway,B-PER
32481,VAT,I-PER
32482,like,B-PER
32483,Germany,I-PER
32484,Harper,B-PER
32485,Plan,I-PER
32486,USA,B-PER
32487,Ontario,I-PER
32488,Church,B-PER
32489,sink,I-PER
32490,Follow,B-LOC
32491,TFWs,B-LOC
32492,kill,B-PER
32493,deal,I-PER
32494,latte,B-PER
32495,Starbucks,I-PER
32496,TFW,B-LOC
32497,Canadian,I-LOC
32498,CAPS,B-ORG
32499,KEY,I-ORG
32500,BROKEN,I-ORG
32501,Canadians,B-LOC
32502,Profits,I-LOC
32503,level,B-PER
32504,Canada,I-PER
32505,line,B-PER
32506,pay,I-PER
32507,like,B-PER
32508,slave,I-PER
32509,like,B-PER
32510,MacDs,I-PER
32511,many,B-PER
32512,solutions,I-PER
32513,Fort,B-PER
32514,Mac,I-PER
32515,Problem,B-LOC
32516,solve,I-LOC
32517,Gawd,B-LOC
32518,naive,I-LOC
32519,Arthur,B-PER
32520,Bull,I-PER
32521,Ron,B-PER
32522,McLean,I-PER
32523,laws,B-ORG
32524,Canada,I-ORG
32525,Chinese,I-ORG
32526,sign,I-ORG
32527,like,B-PER
32528,Italian,I-PER
32529,French,B-ORG
32530,Chinese,I-ORG
32531,standard,B-PER
32532,set,I-PER
32533,History,B-PER
32534,major,I-PER
32535,miss,B-PER
32536,author,I-PER
32537,Constitution,B-PER
32538,Hello,I-PER
32539,smaller,B-PER
32540,ones,I-PER
32541,similar,B-PER
32542,MacDonalds,I-PER
32543,CATTLE,B-PER
32544,Cheers,I-PER
32545,Elections,B-PER
32546,Act,I-PER
32547,Harper,B-PER
32548,Liberal,B-PER
32549,tales,I-PER
32550,many,B-PER
32551,Ukraine,I-PER
32552,easy,B-PER
32553,way,I-PER
32554,exist,B-PER
32555,way,I-PER
32556,HALF,B-PER
32557,CANADIANS,I-PER
32558,Harper,B-PER
32559,Government,I-PER
32560,Ummm,B-PER
32561,time,I-PER
32562,job,B-PER
32563,soon,I-PER
32564,Fix,B-LOC
32565,Senate,I-LOC
32566,Like,B-PER
32567,Canadians,I-PER
32568,World,B-LOC
32569,War,I-LOC
32570,next,B-PER
32571,year,I-PER
32572,Mount,B-PER
32573,Everest,I-PER
32574,Surely,B-LOC
32575,delusionaL,I-LOC
32576,Whose,B-PER
32577,kid,I-PER
32578,Senators,B-ORG
32579,dozen,I-ORG
32580,sound,I-ORG
32581,like,B-PER
32582,Konrad,I-PER
32583,Nurse,B-ORG
32584,Practicioneryoull,I-ORG
32585,glad,I-ORG
32586,NHS,B-LOC
32587,ward,I-LOC
32588,Buh,B-ORG
32589,care,I-ORG
32590,less,I-ORG
32591,school,B-PER
32592,Pollievre,I-PER
32593,PaulToronto,B-PER
32594,Thank,I-PER
32595,late,B-PER
32596,Cleveland,I-PER
32597,differently,B-PER
32598,mass,I-PER
32599,differently,B-PER
32600,mass,I-PER
32601,Sun,B-LOC
32602,Media,I-LOC
32603,insult,B-PER
32604,Ayatollahs,I-PER
32605,start,B-PER
32606,nose,I-PER
32607,system,B-PER
32608,Canada,I-PER
32609,Hands,B-MISC
32610,STUPIDITY,B-LOC
32611,FOREVER,I-LOC
32612,OHIP,B-ORG
32613,OHIP,B-PER
32614,shut,I-PER
32615,USA,B-PER
32616,Canada,I-PER
32617,weird,B-PER
32618,talk,I-PER
32619,Pretty,B-LOC
32620,sad,I-LOC
32621,Rethink,B-LOC
32622,Start,I-LOC
32623,save,B-PER
32624,money,I-PER
32625,Reductio,B-PER
32626,Hitlerum,I-PER
32627,Talk,B-LOC
32628,annoy,I-LOC
32629,North,B-LOC
32630,America,I-LOC
32631,sky,B-PER
32632,fall,I-PER
32633,adults,B-PER
32634,goal,I-PER
32635,meal,B-PER
32636,plan,I-PER
32637,Coca,B-PER
32638,Cola,I-PER
32639,life,B-PER
32640,skills,I-PER
32641,Good,B-ORG
32642,idea,I-ORG
32643,Canadian,B-PER
32644,youth,I-PER
32645,mean,B-ORG
32646,rightwing,I-ORG
32647,GREED,I-ORG
32648,Supply,B-LOC
32649,demand,I-LOC
32650,slaughter,B-PER
32651,Hitler,I-PER
32652,animal,B-PER
32653,slaughter,I-PER
32654,Thanks,B-PER
32655,Elizabeth,I-PER
32656,Hitler,B-LOC
32657,bad,I-LOC
32658,Work,B-PER
32659,Farce,I-PER
32660,eat,B-PER
32661,salad,I-PER
32662,lose,B-PER
32663,mean,I-PER
32664,hell,B-PER
32665,Morronisy,I-PER
32666,Mussolini,B-PER
32667,Franco,I-PER
32668,equal,B-PER
32669,Canada,I-PER
32670,Good,B-ORG
32671,point,I-ORG
32672,Bob,I-ORG
32673,diet,B-PER
32674,Yup,I-PER
32675,Morronski,B-PER
32676,guy,I-PER
32677,solely,B-PER
32678,animals,I-PER
32679,Holocaust,B-PER
32680,illegal,I-PER
32681,Auschwitz,B-LOC
32682,aint,I-LOC
32683,Tried,B-PER
32684,Uggh,I-PER
32685,Liberal,B-ORG
32686,Party,I-ORG
32687,Corruption,I-ORG
32688,Pierre,B-LOC
32689,Poutine,I-LOC
32690,Polivere,I-LOC
32691,Uriah,B-LOC
32692,Heep,I-LOC
32693,Cons,B-LOC
32694,Great,B-ORG
32695,idea,I-ORG
32696,Elections,B-PER
32697,Canada,I-PER
32698,Act,B-LOC
